Language,Default
Prototype_Hand_Desc,Gloves with experimental features that will probably let them deliver a few hits as well as take a few hits.
Advanced_Hand_Desc,"A pair of metallic gauntlets, apparently with the now-refined experimental features."
MakeShift_Foot_Desc,"A pair of tough and sturdy boots. They've seen a lot of use, but they should stop things from stepping on your toes."
Standard_Foot_Desc,Even tougher boots with even more toe protection. A solid kick from these would probably hurt.
Improved_Foot_Desc,Boots that are reinforced with even more metal plating. It's going to take some serious damage to get through these.
Prototype_Foot_Desc,"Experimental boots with experimental features. Probably nothing extreme like super speed, but surely helpful and not dangerous."
Advanced_Foot_Desc,A pair of very comfortable and strangely nice-looking boots. They're also incredibly tough and should easily deflect almost anything that hits them.
MakeShift_HeadGear_001,Battered Helmet 
MakeShift_HeadGear_001_Desc,"An old, dirty helmet, probably a bicycler's helmet. It should still offer a little protection. "
Standard_HeadGear_001,Damaged Face Shield 
Standard_HeadGear_001_Desc,"A cracked face shield and helmet combo. It'll still help, especially if anything aims for the eyes. "
Improved_HeadGear_001,Armored Helmet 
Improved_HeadGear_001_Desc,"A newly-made headpiece that protects as much of the wearer's head as possible, since the head is pretty important. "
Prototype_HeadGear_001,Experimental Helmet 
Prototype_HeadGear_001_Desc,Protective headwear with some extra-protective features. It looks like something from a sci-fi movie or game. 
Advanced_HeadGear_001,Very Dense Head Armor of Headbutting Hardness 
Advanced_HeadGear_001_Desc,"A very comfy and very, very hard piece of head armor. It's probably hard enough to make headbutting a real option, but I'd rather not. "
Worm_Meat,Worm Meat
Worm_Meat_Desc,"The remains of an aggressive worm. It's probably not edible, but someone else might be able to extract something useful from it."
Slug_Slime,Slug Slime
Slug_Slime_Desc,"The few bits of a dangerous slug that could be salvaged. If it's surviving here, there must be something useful in its biology."
Beetle_Shell,Beetle Shell
Beetle_Shell_Desc,"The battered shell of a large, combative beetle. It's still very durable, so it should prove to be useful."
Antidotes_001,Antitoxin
Antidotes_001_Desc,"Medication that should quickly neutralize most known, dangerous toxins. Hopefully, the wildlife here didn't create brand new toxins."
Antidotes_002,Titan Antitoxin
EnergyDrink_001,Energy Drink
Nano_Charger_001,Nanobot Booster
Nano_Medicine_001,Anti-Nanobot Shot
Nano_Medicine_002,[ Need Text ]
Neutralizer_001,Acid Neutralizer
Neutralizer_001_Desc,A bottle with an extremely basic substance that quickly neutralizes acids on equipment or clothing.
RepairKit_001,Toolkit
RepairKit_002,Repair Kit
Splint_001,Splint
Stimulant_001,Stimulant
WardCharger_001,Ward Charger
WardCharger_001_Desc,"A small unit that can be used to charge my Ward. I'll need all the protection I can get, no matter how temporary."
Antidotes_002_Desc,Antitoxin that's specially made for the toxins that the wildlife on Titan use. It should neutralize toxins much faster than the generalized antitoxin.
EnergyDrink_001_Desc,"An energy drink that TECC started manufacturing, just to stop employees from using exhaustion as an excuse. Naturally, it tastes beyond awful."
Nano_Charger_001_Desc,"A syringe full of... something. Something that energizes nanobots so that they keep working, like the TECC energy drink but for tiny machines."
Nano_Medicine_001_Desc,An injection of a substance that disables harmful nanobots while ignoring the native nanobots that aren't harmful.
Nano_Medicine_002_Desc,An item that treats nano-pollution.
RepairKit_001_Desc,"A general-use toolkit that has plenty of tools for repairing damaged equipment, like armor and weapons."
RepairKit_002_Desc,A toolkit that's specially prepared for repairing damaged equipment.
Splint_001_Desc,"A first aid splint that should help with keeping fractured bones in place, so that they can actually heal instead of worsening."
Stimulant_001_Desc,Adrenaline here! A quick boost of adrenaline for those fight-or-flight moments.
Ore_Iron,Iron Ore
Ore_Copper,Copper
Ore_Nickel,Nickel
Ore_ilmenite,Ilmenite
Ore_Petalite,Petalite
Refined_Iron,Refined Iron
Refined_Copper,Refined Copper
Refined_Nickel,Refined Nickel
Refined_Titanium,Refined Titanium
Refined_Lithium,Refined Lithium
Ore_Iron_Desc,Iron ore that was mined from the caves below. It can be Recycled into Refined Iron.
Ore_Copper_Desc,Copper that was mined from the caves below. It can be Recycled into Refined Copper.
Ore_Nickel_Desc,Nickel that was mined from the caves below. It can be Recycled into Refined Nickel.
Ore_ilmenite_Desc,Ilmenite that was mined from the caves below. It can be Recycled into Refined Titanium.
Ore_Petalite_Desc,Petalite that was mined from the caves below. It can be Recycled into Refined Lithium.
Refined_Iron_Desc,Refined iron ore. This should be useful for crafting certain items.
Refined_Copper_Desc,Refined copper ore. This should be useful for crafting certain items.
Refined_Nickel_Desc,Refined nickel. This should be useful for crafting certain items.
Refined_Titanium_Desc,Refined ilmenite. This should be useful for crafting certain items.
Refined_Lithium_Desc,Refined petalite. This should be useful for crafting certain items.
Rope,Rope
Carrot,Carrot
Chill,Chills
Daikon,Daikon
Potato,Potatoes
Pumpkin,Pumpkin
Sweet_Potato,Sweet Potatoes
Tomato,Tomato
Rope_Desc,A length of sturdy rope that should help create new paths to new areas.
Carrot_Desc,"A carrot that the farmer, Seoyeon, grows and sells."
Chill_Desc,"Some chilis that the farmer, Seoyeon, grows and sells."
Daikon_Desc,"A daikon (radish) that the farmer, Seoyeon, grows and sells."
Potato_Desc,"Some potatoes that the farmer, Seoyeon, grows and sells."
Pumpkin_Desc,"A pumpkin that the farmer, Seoyeon, grows and sells."
Sweet_Potato_Desc,"Some sweet potatoes that the farmer, Seoyeon, grows and sells."
Tomato_Desc,"A tomato that the farmer, Seoyeon, grows and sells."
Judith_Note,Judith's Note
Judith_Note_Desc,"This must be the notes that Judith is looking for. She wrote it in such a rush that it's illegible, and the bits that are legible are confusing."
Junk_2x1_W_Icon_001,Composite Wood
Junk_1x2_MA_Icon_001,Automaton Scrap
Junk_1x1_E_Icon_001,Radio Scrap
Junk_1x1_E_Icon_002,Broken Handheld Device
Junk_1x1_E_Icon_003,Radio Scrap
Junk_1x1_E_Icon_004,Broken Camera
Junk_1x1_E_Icon_005,GameGuy
Junk_1x1_E_Icon_006,Monitor
Junk_1x1_MA_Icon_001,Busted Blender
Junk_1x1_MA_Icon_002,Toasted Toaster
Junk_1x1_MA_Icon_003,Hand Mixer
Junk_1x1_MA_Icon_004,Deli Slicer
Junk_1x1_MA_Icon_005,Food Compressor
Junk_1x1_MA_Icon_006,Broken Battery Pack
Junk_1x1_MA_Icon_007,Grass Cutter
Junk_1x1_MA_Icon_008,Engine Component
Junk_1x1_MA_Icon_009,Broken Machinery
Junk_1x1_MA_Icon_010,Destroyed Drill
Junk_1x1_MA_Icon_011,Linear Object
Junk_1x1_MA_Icon_013,Syringe
Junk_1x1_MA_Icon_014,Dull Saw
Junk_1x1_MA_Icon_015,Microscope
Junk_1x1_MA_Icon_016,Machinery Junk
Junk_1x1_MA_Icon_017,Machinery Junk
Junk_1x1_MA_Icon_018,Machinery Junk
Junk_1x1_MA_Icon_019,Machinery Junk
Junk_1x1_MA_Icon_020,Pump
Junk_1x1_MA_Icon_021,Electric Drill
Junk_1x1_MA_Icon_022,Clamp
Junk_1x1_MA_Icon_023,Portable Vacuum
Junk_1x1_MA_Icon_024,Hair Dryer
Junk_1x1_MA_Icon_025,Robot Vacuum
Junk_1x1_MA_Icon_026,Downed Drone
Junk_2x1_W_Icon_001_Desc,"Planks that are composited from several different plant life. Titan isn't much of a forest, so it seems that the people here tried to make these planks out of whatever flora they could find."
Junk_1x2_MA_Icon_001_Desc,"A small piece of machinery. Its shape suggests that it's a part of a much larger whole, and the wiring seems excessive for a basic appliance. Could this be part of an automaton?"
Junk_1x1_E_Icon_001_Desc,"An old radio. It's rusty, falling apart, and most of the wiring is exposed or severed."
Junk_1x1_E_Icon_002_Desc,"Some sort of handheld device, possibly a dedicated calculator. Regardless, it's been trampled on and can't do anything anymore."
Junk_1x1_E_Icon_003_Desc,"A handheld radio. At a glance, it looks relatively untouched, but none of the buttons do anything, so it should probably go to the recycler."
Junk_1x1_E_Icon_004_Desc,An old-fashioned camera. How odd that one of these would be on Titan. One of the camp people must enjoy old photography.
Junk_1x1_E_Icon_005_Desc,"A very old handheld video game device. Even if it wasn't broken, the batteries are probably dead, and batteries are rare to come across these days."
Junk_1x1_E_Icon_006_Desc,"A device that is mostly screen, so it was probably a monitor or touch device of some sort. Either way, the screen is cracked and nonfunctional."
Junk_1x1_MA_Icon_001_Desc,This blender got really abused. One can only imagine what it was blending when it became like this.
Junk_1x1_MA_Icon_002_Desc,An extremely grimy and nonfunctioning toaster. Maybe someone tried putting toast in it instead of bread.
Junk_1x1_MA_Icon_003_Desc,"A mostly destroyed hand mixer. With how desperate the current camp is with supplies, having a hand mixer feels like a luxury."
Junk_1x1_MA_Icon_004_Desc,"Some sort of cutter, possibly for deli meat or something like that. It's too dull and stationary now, though."
Junk_1x1_MA_Icon_005_Desc,"A kitchen appliance of some kind, maybe for compressing stuff. Regardless, it's going to get compressed itself soon."
Junk_1x1_MA_Icon_006_Desc,"This appears to be a battery or power pack for a large yet portable device. It's clearly aged, so any battery it may have had is likely gone already."
Junk_1x1_MA_Icon_007_Desc,A decrepit grass cutter. It's weird that this is here... Maybe someone was really optimistic about the whole terraforming plan.
Junk_1x1_MA_Icon_008_Desc,"I'm hardly an engineer, but this looks like part of an engine. No idea what the engine would go to, but this component seems inoperable, anyway. I'm sure Judith can make sense (or materials) out of it."
Junk_1x1_MA_Icon_009_Desc,No idea what this is. It doesn't matter too much considering it's only good for recycling now.
Junk_1x1_MA_Icon_010_Desc,"A pretty small handheld drill. At least, it was a drill before the tip was completely torn off."
Junk_1x1_MA_Icon_011_Desc,"It seems to be some sort of device, but it won't do anything anymore, so it's only good for recycling now."
Junk_1x1_MA_Icon_013_Desc,One of those syringes with a neat ergonomic handle.
Junk_1x1_MA_Icon_014_Desc,"An old saw with a rusty, dull blade that would probably sooner tear something apart before it ever gets cut."
Junk_1x1_MA_Icon_015_Desc,"A relatively intact microscope. The camp should already have one, if it needs one at all, so this should probably just be recycled for now."
Junk_1x1_MA_Icon_020_Desc,"A beat-up pump, probably for air or some other gas. This might have been useful for refilling the oxygen canisters, but of course it's damaged beyond repair."
Junk_1x1_MA_Icon_021_Desc,An old-fashioned electric drill. Very damaged and inoperational and eligible for being recycled into machinery materials.
Junk_1x1_MA_Icon_022_Desc,"A workshop clamp. It could maybe still work in its condition, but I don't think there's a workshop in the camp, anyway."
Junk_1x1_MA_Icon_023_Desc,"A small, handheld, portable vacuum. Maybe the trash that it sucked up will provide some extra material."
Junk_1x1_MA_Icon_024_Desc,A broken hair dryer. Very useless outside of the recycler.
Junk_1x1_MA_Icon_025_Desc,"A very broken robot vacuum. It would be overworked with the current state of the camp, anyway."
Junk_1x1_MA_Icon_026_Desc,A small drone that's been roughed up too much. It would be a miracle if it could move at all anymore.
ClawTrap_001,Claw Trap
ClawTrap_001_Desc,A typical claw trap that automatically clamps down on anything that steps on it.
SlingShots_001,Slingshot
SlingShots_001_Desc,"A slingshot that can fire small objects at a decent speed. It's a primitive weapon from Earth's history, now part of Titan's history, alongside bows, guns, and nanobots."
SlingShots_Ammo_001,Slingshot Pellets
SlingShots_Ammo_001_Desc,Small steel balls that can be used as ammunition for a slingshot.
