Language,Default
Mn009_JudithWant_02_Judith,"Looking for you? Not really...? Oh, right! I remember now. You went into the cave recently, right?"
Mn009_JudithWant_03_Nar,(You nod your head.)
Mn009_JudithWant_04_Judith,How was the cave? Isn't there a lot of dangerous creatures?
Mn009_JudithWant_05_Judith,"Actually, I have a favor to ask of you."
Mn009_JudithWant_06_P,What's going on?
Mn009_JudithWant_07_Judith,"Some of us, including myself, have explored the cave before. It wasn't too bad in the beginning, but then things got worse and those creatures in the cave started to appear more frequently and I swear some of them got bigger! Anyway, I was setting up a support in the cave, putting up some lamps and all of a sudden I was jumped by one of those creatures."
Mn009_JudithWant_08_Judith,"I left in a hurry, and I was not hurt, but I think that's when I lost my notes. It's something that I've kept since I arrived here and they contain some of my ideas for useful things that can help us survive in this place."
Mn009_JudithWant_09_Judith,You've already been to the cave so you seem capable. Can you please explore the cave for my notes and bring them back to me?
Mn009_JudithWant_10_P,"Okay, I'll look for your notes."
Mn009_JudithWant_11_Judith,"That's great! Oh, and if I may ask for one more thing. I think the creature that was after me looked like a beetle and, while I was busy running, I noticed its hard shell-like body. I am interested in anything we can find here that may help us survive and that looked like a great material to make use of."
Mn009_JudithWant_12_P,"So, I suppose you want me to get some for you?"
Mn009_JudithWant_13_Judith,"Yes, indeed! Since our supplies from headquarters have been cut off and all, we'll need anything and everything we can get our hands on. I think it is definitely worth researching."
Mn009_JudithWant_14_P,I found your notes.
Mn009_JudithWant_15_Judith,Oh! That's it! Thank you!
Mn009_JudithWant_16_Judith,"It's not much but here's some credit for your trouble. And for your real reward for finding these, I'm going to start looking at my ideas right away."
Mn009_JudithWant_17_Judith,I have some ideas that may be helpful to you. They're rough ideas so I'll organize them into blueprints and store them in your storage when they're done.
Mn009_JudithWant_18_Judith,"Once you have the blueprints, you can request them to be researched further from production."
Mn009_JudithWant_19_Judith,Thanks again and I will let you know once the blueprints are ready.
Mn009_JudithWant_20_Judith,Hey. I've finished writing up some blueprints. I hope they are useful.
Mn009_JudithWant_21_Judith,"I have sent them to your storage in the supply depot, so you can start making a formal request for them to be researched whenever you like."
Mn009_JudithWant_22_Judith,"Alright, back to work then."
Mn011_Minerals02_01_P,Is this what you're looking for?
Mn011_Minerals02_02_Litzi,Yup! That's it! Thanks!
Mn011_Minerals02_03_Litzi,Here you go. And here's another extra.
Mn011_Minerals02_04_Nar,(She gives you equipment and credits.)
S003_Massage_01_Nar,<color=TUTORIAL>A new message has arrived.</color>
S003_Massage_02_P,What's this?
S003_Massage_03_Nar,"(You check your messages, a message scrolls across your vision.)"
S003_Massage_04_Ida,"<Message>\n Come back when you can, we need to talk.\n-Ida-"
S003_Massage_05_P,You wanted to see me?
Mn013_Nanobot_01_Nar,(Ida's face lights up)
Mn013_Nanobot_02_Ida,Great! You're here! We've discovered something!
Mn013_Nanobot_03_P,...And that is?
Mn013_Nanobot_04_Ida,"Okay, first off: did you know that the mine, the main purpose for our journey here, is closed?"
Mn013_Nanobot_05_P,Litzi told me that it ran into problems.
Mn013_Nanobot_06_Ida,"Correct, but did she tell you the details?"
Mn013_Nanobot_07_P,...No. Why? What's going on?
Mn013_Nanobot_08_Ida,"When we first arrived, operations in the mine resumed swiftly. Within a few days, though, some miners developed skin lesions, others became violently ill. We chalked it up to poor ventilation, made adjustments, and pressed on. The miners never recovered and those that worked in their stead got ill at an even quicker pace."
Mn013_Nanobot_09_Ida,"We've been trying to piece together what happened here since then. Since you had no memory, we went back to the start, and dug out our friend, the original owner of your Omniscope. At the very least, I was wondering if there was a way to retrieve information off of their nanomachines."
Mn013_Nanobot_10_P,Nanomachines? I think I remember that? I think it was that shot I got before coming to Titan.
Mn013_Nanobot_11_Ida,"Yeah. That shot was a bunch of small robots that work in a loose AI mesh. Everyone got a shot to help regulate their body and assist with surviving the environment while the terraforming process takes hold. The atmosphere isn't really uniform or predictable yet, so the small robots help us with respiration, synthesize compounds to boost immunity and prevent disease, and so forth."
Mn013_Nanobot_12_Ida,"Our friend, however, doesn't have nanomachines like Isko or I have. Theirs appears to be the ones that are intended to terraform, but were still active in his old, decaying tissues. What's worse, in multiple samples we can see these 'invaders' disabling and absorbing the host's nanomachines while... apparently terraforming the tissue around with it."
Mn013_Nanobot_13_Ida,"Nobody's ever come back from outside of the mining camp with anything like this, either, and from what we have observed, it's probably spread by direct contact. Whatever it is, it probably came from within the mine."
Mn013_Nanobot_14_Ida,All of this said... I think there's a possibility you might be able to get into the mine safely.
Mn013_Nanobot_15_P,Are you serious? Why would I chance that? Sounds like a bad way to go.
Mn013_Nanobot_16_Ida,"We... did some basic lab work on you when you went unconscious. Good reasons, I swear. We ran a panel, but we also tried... well your nanomachines are a bit different. For whatever reason, yours have no problem duking it out with the invading nanomachines."
Mn013_Nanobot_17_P,...What?!
Mn013_Nanobot_18_Ida,"Alright, so we don't know if it will be foolproof, obviously the load matters too. However your nanomachines give you an edge none of us in the camp do. That cave we found? I'm sure somebody's told you about it by now? Isn't going to be a crutch we can use forever. We need the resources in the mine. None of us realized just how bad this place is, it's arguable that at this point the materials are more important for just surviving this gig. That includes you."
Mn013_Nanobot_19_P,Are you really going to trust a stranger with this task? Why can't you guys just... tweak your nanomachines to fight these things off?
Mn013_Nanobot_20_Ida,"You think we haven't tried that? That's a little outside of our expertise, we can barely service the damn things, and we sure as hell can't design new ones. You've got the only other ones we've seen, which means..."
Mn013_Nanobot_21_P,"Yeah, got it. Doesn't sound like the camp's got much longer if it doesn't happen, and it doesn't seem like anybody's even considering the mine in their plans."
Mn013_Nanobot_22_Ida,"Would you consider it? You were backing out before you knew there was a wall behind you. Anyway, while your nanomachines are fighting off invaders just fine, they do appear to be a little desynced, at least in that sample. I think we should force a reactivation since it's probable that long nap didn't do them any good, either. We need to make sure you survive."
Mn013_Nanobot_23_Nar,(You feel your fate loaded upon you.)
Mn013_Nanobot_24_P,Just tell me where to stand.
Mn013_Nanobot_25_Ida,Follow me.
Mn013_Nanobot_26_Nar,(You follow Ida into a familiar room: the one you first awoke in. You enter a capsule at her behest to begin the process.)
Mn013_Nanobot_27_Nar,(You've been in here a while. The machine continues to run)
Mn013_Nanobot_28_Ida,"Isko, anything look 'not normal'?"
Mn013_Nanobot_29_Isko,"They look like they're talking again. We can't directly interface with them, but it seems like they've recalibrated based on what we can see on the scope."
Mn013_Nanobot_30_Ida,Hey! Good news. That's rare.
Mn013_Nanobot_31_Nar,"(You don't remember feeling this way before, but you also don't recall if you've been through this process. You assume the nanomachines have 'activated' based on the discussion.)"
Mn013_Nanobot_31_AI,<color=TUTORIAL>Body nanobots Activated. NanoGauge output Activated. New nano perk Activated.</color>
Mn013_Nanobot_32_Ida,How do you feel? Any different?
Mn013_Nanobot_33_P,"It feels... weird. I would have thought I couldn't feel like this, I've had nanomachines for a while and can't remember feeling this way. I see some new stuff on my scope, though."
Mn013_Nanobot_34_Ida,"You do?! That's... what do you see?! Wait, no, that can wait. Dammit. Okay. Time's short, but I call 'dibs' on you later for documenting that phenomenon."
Mn013_Nanobot_35_Ida,"For now, we all need you to check out the mine to see if it's even going to save us. Go find Tau at the mines, he'll be expecting you, though he'll probably insist you call him 'Overseer Mogorosi'."
Mn014_Mogorosi_01_P,"Hey, are you Tau? Ida said to find you."
Mn014_Mogorosi_02_Tau,"...'Overseer Mogorosi', thanks. Yes, she told me, said you've got some 'special' quality. You don't look so tough to me, but I don't care, we've got nothing to lose. I'm not digging you out if you fail, so no skin off me. I just hope you're strong. We don't let it slip, out, but the mines aren't empty. Whatever it's doing to things... it's had some time to do it's 'thing', you know? Anyway, if you manage to surprise me I know we can hammer out a deal."
Mn014_Mogorosi_03_Tau,"I'm no jackass, though. Not gonna let you go in without some equipment. It's in my interest to see you do good, too. Can't have a piece of the pie that isn't there, yeah?"
Mn014_Mogorosi_04_Tau,"It's not even just 'cause I think you gonna be in for a fight. This is an ice moon, this stuff isn't here naturally. Never know if something might fall... you probably gonna fight, though."
Mn014_Mogorosi_05_Tau,"Go see Judith, she still hanging on to some equipment of mine that we didn't end up needing. Hurry up, though, I don't like waiting."
Mn015_Judith_01_P,"Hey, Judith? Mogorosi said there was some equipment here that he never picked up."
Mn015_Judith_02_Judith,Yeah?! Well you can tell that bastard that he's not getting shit until he pays up in full! He still hasn't finished paying for the last few sets!
Mn015_Judith_03_P,"I don't work for him. I'm only here so he'll let me in the mine, and I'm only going to the mine so we can get the materials out."
Mn015_Judith_04_Judith,"Listen, I get it. I know why I make this stuff. Still, I let him win this one I'm probably not going to care what happens. He can easily pay it, he just chooses not to. I'm not an idiot, which is why he's gotta bend a bit."
Mn015_Judith_05_P,"Alright, how much did he owe?"
Mn015_Judith_06_Judith, {0df909b7-7d61-4243-a82c-20f54888daea} ! And tell him not a damn credit less! Then we'll call the three sets even.
Mn015_Judith_A01_P,"Screw it, I don't have time for this. He can owe me."
Mn015_Judith_A02_Judith,"Good. There's a lot more to be paid, but I'll move on to this one now! Tell Tau, if he don't pay him first, I won't do anything!"
Mn015_Judith_A03_P,......
Mn015_Judith_A04_Nar,(You acquired a miner's uniform.)
Mn015_Judith_B01_P,Uhh... I don't think I can pay this.
Mn017_Boss_Act01_01_P,"Hey, I got the equipment, which I had to pay for, by the way!"
Mn017_Boss_Act01_02_Tau,"Is that what took so fuckin' long? You really that bad at negotiation? Remember what I said about making a 'deal'? You're going to be making plenty, calm down."
Mn017_Boss_Act01_03_P,What about the bill I had to pay to get this crap?
Mn017_Boss_Act01_04_Tau,"You kiddin' me? The mine is the most important part of this fucking circus. We're doing the primary job here, or would be, but as you've heard this job came with some extra bullshit. Why should I have to pay out for providing these guys with jobs in the first place?"
Mn017_Boss_Act01_05_Tau,"Anyway, don't listen to Judith. She doesn't know what she's talking about and overcharges. I said what I meant: you were picking up what was mine already. Paying was up to you, if you're just keeping the peace... I'll take note of your kindness."
Mn017_Boss_Act01_06_Tau,"But hey, I can be nice, too. You can keep the equipment, free of charge. We'll call it an investment."
Mn017_Boss_Act01_07_P,...
Mn017_Boss_Act01_07A_TAU,"Then, are you ready to go in the mine?"
Mn017_Boss_Act01_07B_P,I'm ready. I can head straight to the mine.
Mn017_Boss_Act01_07C_P,I'm not ready yet. Give me a little time.
Mn017_Boss_Act01_08_Tau,Wait in my office. I'll go make some preparations.
Mn017_Boss_Act01_09_Nar,(You wait in his office while he rounds up the other miners.)
Mn017_Boss_Act01_10_Nar,(You contemplate the chances of success.)
Mn017_Boss_Act01_11_Nar,(A man enters the room.)
Mn017_Boss_Act01_12_Alexei,"...kin' Ta? Oh, there really is a newcomer. I'm Alexei. Supervisor Mogorosi says you are a crazy person with a death wish. Are you really going in?"
Mn017_Boss_Act01_13_P,"Seems everything points there, and I keep getting told it's gotta be done. Lead the way."
Mn017_Boss_Act01_14_Nar,(Alexei waves you on. You follow.)
Mn017_Boss_Act01_15_Alexei,"The Super rope you in too, Seble?"
Mn017_Boss_Act01_16_Seble,"Rope in' nothin', man thinks with his wallet first! Says he values his people but the credits are the last thing he'd sacrifice. That's no way to run an operation, you know that. No foolin' neither, this fella may be the only one to get any real work done, an' we been here sittin' long enough."
Mn017_Boss_Act01_17_Alexei,"You're tellin' me? My boots are worn through. 'Don't need them for the drone', he says. Heh. Okay."
Mn017_Boss_Act01_18_Alexei,"Okay, newcomer, this is it. You can go down to the mine through the elevator over there."
Mn017_Boss_Act01_19_P,Is the elevator working properly?
Mn017_Boss_Act01_20_Alexei,"Don't worry about it. We couldn't go down to the mine until now, but I've been managing the elevator steadily."
Mn017_Boss_Act01_23_Nar,(The door suddenly opens; a person enters abruptly.)
Mn017_Boss_Act01_24_Tau,"Now then, everybody ready to go? You've had plenty of time."
Mn017_Boss_Act01_25_Nar,(Mogorosi approaches you and speaks with a more diplomatic tone.)
Mn017_Boss_Act01_26_Tau,"If this works out... you'll be the only person able to enter the mine safely, which means exclusive access, which means a lot of demand. Demand means credits. Keep that in mind."
Mn017_Boss_Act01_27_Tau,"...but don't forget, you're going to need us. We maintain this deathtrap, we know what in's and out's there are to know."
Mn017_Boss_Act01_28_Tau,"We can wait on that until you can prove you're up to snuff, though."
Mn017_Boss_Act01_29_P,"Enough, let's get it over with."
Mn017_Boss_Act01_30_Nar,(A strange noise is approaching quickly.)
Mn017_Boss_Act01_31_Nar,"(The sound gets closer, a loud thump rattles the area.)"
Mn017_Boss_Act01_32_Tau,W-w-what the fu-
Mn017_Boss_Act01_33_Tau,Shit! What's that?!
Mn017_Boss_Act01_34_Seble,Not plannin' on finding out!
Mn017_Boss_Act01_35_Alexei,What's the plan?!
Mn017_Boss_Act01_36_Tau,"Hold it off, we gotta make sure it doesn't get to the camp!"
Mn017_Boss_Act01_37_Nar,(Mogorosi sprints ahead without the rest of the group.)
Mn017_Boss_Act01_38_Nar,(The door locks behind him.)
Mn017_Boss_Act01_39_P,Wonderful.
Mn017_Boss_Act01_40_Seble,You can't be serious?! He locked the goddamn door!
Mn017_Boss_Act01_41_Alexei,...You were right.
Mn017_Boss_Act01_42_Seble,"I toldya, but I'm here too, so lotta good that did."
Mn017_Boss_Act01_43_Alexei,"Not going to lay down here and wait, let's get out of here."
Mn017_Boss_Act01_44_P,You guys are taking this well.
Mn017_Boss_Act01_45_Seble,We are stuck with our options. Right now we gotta figure out what those are. You got your pickaxes?
Mn017_Boss_Act01_46_Alexei,"I don't know how we got out of there. Thank you, newcomer. Never thought I could trust a stranger more than my boss."
Mn017_Boss_Act01_47_Seble,"Everyone okay? Nobody get exposed, all feelin' alright? I don't know about you Alexei, but I don't think I've seen one that big before."
Mn017_Boss_Act01_48_Alexei,"Not something I've seen, either. I need to talk to Tau, though."
Mn017_Boss_Act01_49_Nar,(The door suddenly opens.)
Mn017_Boss_Act01_50_Tau,I knew you could do it! You protected the mine! The camp is safe!
Mn017_Boss_Act01_51_Nar,(Alexei stomps toward Mogorosi.)
Mn017_Boss_Act01_52_Alexei,"What was that shit, Tau?! You were okay with us dying? Are you so greedy you don't even want to share survival?"
Mn017_Boss_Act01_53_Tau,"You think I picked you two on accident?! We all know this mine is dangerous! For all we know your distraction is what let me get away to go find help and ensure the camp didn't get wiped out! You're alive, what's the fuckin' problem?!"
Mn017_Boss_Act01_54_Alexei,"Where's the help, Tau?!"
Mn017_Boss_Act01_55_Tau,"I am it; we don't have anyone else we can count on! Look, we're proving our worth. We'll get this camp back in shape, and once we make it back to Earth and I'm accepted into the inner workings of TECC I'll make we're all properly rewarded for today."
Mn017_Boss_Act01_56_Nar,"(Alexei's doesn't appear to be satisfied with the offer, but he crosses his arms and filters his expression. He looks off to the side as Tau continues to speak.)"
Mn017_Boss_Act01_57_Tau,"We shouldn't sour the victory for the mine. Don't worry, we'll make things fair."
Mn017_Boss_Act01_58_Tau,"And I'll make sure of it by calling for an assembly. We're going to discuss the new danger with the rest of the camp, and make it known that we're now doing the work of the guards as well."
Mn017_Boss_Act01_59_Tau,"I think our value is obvious, everyone will agree that, naturally, we deserve some form of compensation."
Mn017_Boss_Act01_60_Tau,"Consider this part of our deal, Alexei and Seble have been here a while, but I got a feelin' something coming from you would get more attention. Be sure to come by the assembly area and explain what happened. We're all sure to profit. Well, then I'll get everyone to the Pub, and you'll be in a hurry."
Sub002_BluePrint_01_Litzi,"Thank you! Oh, I almost forgot. Talk to Judith on your way out, I think she wants to talk to you."
Sub002_BluePrint_01_David,"Oh, by the way I think Judith was looking for you. Perhaps it might be a good idea if you go and see her."
Sub002_BluePrint_02_P,Judith...? You wanted to see me?
Sub002_BluePrint_03_P,Were you looking for me?
Sub002_BluePrint_04_Judith,"That's right, I have something to tell you, our brand-new recruit. Have you heard about the item research from David?"
Sub002_BluePrint_05_P,"Yes, I got the authority registered in my Omniscope. I got the instruction on how to request task around the camp."
Sub002_BluePrint_06_Judith,"And I hear you're helping Litzi with her job. Then you have probably visited the cave, right? How was it there?"
Sub002_BluePrint_07_P,"It was really dark, and there were... some rough friends in there."
Sub002_BluePrint_08_Judith,"Right. I heard they are pretty violent. It is probably not very safe to go there alone, especially if you are not prepared. Having said that, I might just have something that might help you."
Sub002_BluePrint_09_Judith,This is something I thought about before... I came up with some blueprints containing ideas for various 'weapons' some time ago. We have security but they don't really care about us. We have to protect our ourselves in this desolate place right?
Sub002_BluePrint_10_Judith,"Anyway, I didn't know where you were, so I placed them in your personal storage. Take a look at it sometime and request them to be researched. You may be able to get something out."
Sub002_BluePrint_11_Judith,"If you happen to find any blueprints or items that may look like they are researchable, you can probably request them to be researched in the future too. Of course, it's going to cost ya a little. Good Luck!"
Sub002_BluePrint_11_Nar,(Several blueprints have been added to the supply's personal storage.)
Sub002_BluePrint_12_P,(... so make a request on the production menu in the Omniscope? Got it.)
Sub_Q_WormMeat_01_P,I have some meat in my inventory.
Sub_Q_WormMeat_02_P,Maybe Alp can make use of some of this 'meat'
Sub_Q_WormMeat_03_P,I found something you might be interested in.
Sub_Q_WormMeat_04_Alp,Oh? What is it?
Sub_Q_WormMeat_05_P,I have some meat from the worms in the cave. What do you think? Can you do anything with it?
Sub_Q_WormMeat_06_Alp,"Oh... Worm meat! Why didn't I think of that? That's a great idea! I can certainly try to come up with something nice. Is there more? If you bring me more, I'll buy it at a good price. As a matter of fact, if you happen to find anything that remotely seems like it can be used as an ingredient for a dish, I will take it off your hands at a good price."
